ProcPress (bar),ExtPress (bar),ProcTempr *C,ChmbrTempr *C,SGTempr *C,ExtTmpr *C,ProcType,V1,V2,V3,V5,Vacuum,Water,ChHeat,ShdHeat,SgsHeat,ChTar *C,ChPWR %,SgTar *C,SgPWR %
1.0112276077270508,1.0062270164489746,74.81847381591797,105.2409896850586,175.31455993652344,36.56097412109375,4,False,True,False,True,False,False,True,False,False,136,100,210,100
1.0116097927093506,1.0062284469604492,74.82941436767578,105.40064239501952,175.80508422851562,36.53680419921875,4,False,True,False,True,False,False,True,False,False,136,100,210,100
1.0129492282867432,1.0062425136566162,74.84928894042969,105.55955505371094,176.21099853515625,36.565948486328125,4,False,True,False,True,False,False,True,False,False,136,100,210,100
1.0121605396270752,1.0062570571899414,74.86144256591797,105.76385498046876,176.59375,36.56381988525391,4,False,True,False,True,False,False,True,False,False,136,100,210,100
1.0128324031829834,1.0062618255615234,74.89171600341797,105.96229553222656,176.9055938720703,36.56026458740234,4,False,True,False,True,False,False,True,False,False,136,100,210,100
1.013443112373352,1.0062743425369265,74.90515899658203,106.1546630859375,177.1630401611328,36.56168365478516,4,False,True,False,True,False,False,True,False,False,136,100,210,100
1.013377070426941,1.006277084350586,74.9301528930664,106.39936065673828,177.4468994140625,36.55955505371094,4,False,True,False,True,False,False,True,False,False,136,100,210,100
1.012812852859497,1.006285309791565,74.95603942871094,106.61507415771484,177.6417236328125,36.538368225097656,4,False,True,False,True,False,False,True,False,False,136,100,210,100
1.013187289237976,1.0062847137451172,74.98797607421875,106.86106872558594,177.83892822265625,36.573768615722656,4,False,True,False,True,False,False,False,False,False,136,100,210,100
1.013393759727478,1.006279468536377,75.02117156982422,107.09732055664062,178.00160217285156,36.57760620117188,4,False,True,False,True,False,False,False,True,True,136,100,210,100
1.014152765274048,1.0062761306762695,75.04268646240234,107.33685302734376,178.1219024658203,36.604339599609375,4,False,True,False,True,False,False,False,True,True,136,100,210,100
1.0139703750610352,1.0062721967697144,75.08089447021484,107.5830307006836,178.2867431640625,36.57177734375,4,False,True,False,True,False,False,False,True,True,136,100,210,100
1.0148242712020874,1.006269454956055,75.11820220947266,107.77056884765624,178.51168823242188,36.55145263671875,4,False,True,False,True,False,False,False,True,True,136,100,210,100
1.0144182443618774,1.0062761306762695,75.15621948242188,107.92317962646484,178.8970489501953,36.5726318359375,4,False,True,False,True,False,False,False,False,False,136,100,210,100
1.014811396598816,1.0062698125839231,75.20197296142578,108.03802490234376,179.42831420898438,36.57618713378906,4,False,True,False,True,False,False,True,False,False,136,100,210,100
1.0152446031570437,1.0062772035598757,75.23665618896484,108.10211181640624,180.1263427734375,36.57562255859375,4,False,True,False,True,False,False,True,False,False,136,100,210,100
1.0154608488082886,1.0062711238861084,75.27000427246094,108.13225555419922,180.84603881835935,36.5743408203125,4,False,True,False,True,False,False,True,False,False,136,100,210,100
1.0150303840637207,1.0062637329101562,75.31319427490234,108.1629638671875,181.54544067382807,36.56751251220703,4,False,True,False,True,False,False,True,False,False,136,100,210,100
1.0158997774124146,1.0062490701675415,75.3431167602539,108.20455169677734,182.2112579345703,36.55287170410156,4,False,True,False,True,False,False,True,False,False,136,100,210,100
1.015896916389465,1.0062425136566162,75.39213562011719,108.2857437133789,182.8597717285156,36.51490783691406,4,False,True,False,True,False,False,True,False,False,136,100,210,100
1.015863060951233,1.0062419176101685,75.43817901611328,108.40357208251952,183.39161682128903,36.54064178466797,4,False,True,False,True,False,False,True,False,False,136,100,210,100
1.0164424180984497,1.0062373876571655,75.47320556640625,108.54426574707033,183.9023895263672,36.555999755859375,4,False,True,False,True,False,False,True,False,False,136,100,210,100
1.0169038772583008,1.0062309503555298,75.52554321289062,108.6986846923828,184.32815551757807,36.51903533935547,4,False,True,False,True,False,False,True,False,False,136,100,210,100
1.0178226232528689,1.006239891052246,75.57003021240234,108.87419891357422,184.70309448242188,36.57661437988281,4,False,True,False,True,False,False,True,False,False,136,100,210,100
1.017939567565918,1.0062350034713743,75.61866760253906,109.0640869140625,185.0097503662109,36.58955383300781,4,False,True,False,True,False,False,True,False,False,136,100,210,100
1.0178450345993042,1.0062373876571655,75.67127990722656,109.27892303466795,185.30535888671875,36.61784362792969,4,False,True,False,True,False,False,True,False,False,136,100,210,99
